name,type,period_start,period_end,commits,commit_ratio,added_lines,added_lines_ratio,deleted_lines,deleted_lines_ratio,add_minus_del,add_minus_del_ratio,contributors,contributor_ratio,files,files_ratio
https://github.com/joomla-bible-study/proclaim,overall,2025-09-20T00:55:04+00:00,2026-02-22T11:23:46.976139+00:00,709,81.241,470871,89.546,196098,75.713,274773,99.417,2,100.0,2771,95.309
https://github.com/josefbacik/systing,overall,2025-09-04T21:15:24+00:00,2026-02-21T14:39:11.492246+00:00,340,88.824,317742,96.227,57335,60.248,260407,104.149,3,66.667,144,92.361
https://github.com/jpicklyk/task-orchestrator,overall,2025-06-06T14:30:04+00:00,2026-02-21T12:36:58.623071+00:00,383,88.512,392321,98.313,289781,99.296,102540,95.535,4,50.0,1185,99.831
https://github.com/JRasmusBm/dotfiles,overall,2026-02-02T08:26:56+00:00,2026-02-22T19:40:50.966216+00:00,54,85.185,1443,94.802,521,99.616,922,92.082,1,100.0,58,96.552
https://github.com/jrucho/YTbeatmakercues,overall,2025-06-04T11:09:16+00:00,2026-02-22T22:44:32.481147+00:00,208,81.25,8516,83.314,2707,89.287,5809,80.53,1,100.0,6,100.0
https://github.com/kako-jun/diffx,overall,2025-07-04T10:48:52+00:00,2026-02-21T11:42:40.893596+00:00,330,79.697,89471,88.97,83355,71.038,6116,333.355,1,100.0,521,97.121
https://github.com/kamiazya/web-csv-toolbox,overall,2025-06-15T05:40:41+00:00,2026-02-21T18:23:28.863386+00:00,60,86.667,88312,95.936,31518,86.011,56794,101.444,7,28.571,696,95.833
https://github.com/kauevestena/osm_sidewalkreator,overall,2025-06-27T03:31:23+00:00,2026-02-22T09:37:23.789733+00:00,163,76.074,87182,17.972,68335,8.251,18847,53.218,4,75.0,112,36.607
https://github.com/kizuna-ai-lab/sokuji,overall,2025-07-14T08:43:01+00:00,2026-02-23T14:01:53.733367+00:00,357,86.275,152943,96.408,112863,97.658,40080,92.889,4,75.0,647,99.382
https://github.com/kotak-ai/1.58BitNet,overall,2025-06-06T18:43:04+00:00,2026-02-21T06:22:28.086554+00:00,100,88.0,9078,97.775,1606,94.956,7472,98.381,2,100.0,72,100.0
https://github.com/kousen/java_latest,overall,2025-03-02T13:29:13+00:00,2026-02-21T02:07:02.138593+00:00,60,76.667,8877,61.688,704,74.716,8173,60.565,1,100.0,97,85.567
https://github.com/kousen/spring-and-spring-boot,overall,2025-07-03T22:05:06+00:00,2026-02-21T14:03:06.065173+00:00,56,82.143,18163,94.891,9002,97.478,9161,92.348,1,100.0,163,98.773
https://github.com/KristopherKubicki/glimpser,overall,2025-05-02T01:53:50+00:00,2026-02-21T20:01:26.219688+00:00,1793,94.255,90496,89.916,40513,89.226,49983,90.475,6,33.333,621,99.195
https://github.com/lane711/sonicjs,overall,2025-06-23T20:13:44+00:00,2026-02-21T05:50:16.079252+00:00,610,86.557,837891,82.455,456262,58.312,381629,111.319,10,40.0,2741,91.937
https://github.com/lapfelix/XcodeMCP,overall,2025-06-04T22:15:29+00:00,2026-02-21T19:27:22.391333+00:00,204,75.0,59414,81.716,35015,72.438,24399,95.033,3,66.667,201,94.03
https://github.com/laughingman7743/pyathena,overall,2025-07-19T01:32:15+00:00,2026-02-21T23:39:03.092254+00:00,234,94.017,33774,99.041,15090,98.211,18684,99.711,5,20.0,204,99.51
https://github.com/liberu-browser-game/browser-game-laravel,overall,2026-02-14T12:30:40+00:00,2026-02-22T11:24:59.481874+00:00,58,100.0,23739,100.0,1313,100.0,22426,100.0,1,100.0,198,100.0
https://github.com/liberu-control-panel/control-panel-laravel,overall,2025-05-18T14:50:28+00:00,2026-02-21T17:02:57.270694+00:00,183,79.781,83704,77.763,12530,17.015,71174,88.458,9,22.222,567,73.192
https://github.com/liberu-real-estate/real-estate-laravel,overall,2026-02-14T12:40:23+00:00,2026-02-21T11:36:35.176208+00:00,126,100.0,39977,100.0,1210,100.0,38767,100.0,1,100.0,267,100.0
https://github.com/liberu-social-network/social-network-laravel,overall,2026-02-14T12:37:49+00:00,2026-02-23T14:13:23.486688+00:00,60,100.0,20114,100.0,468,100.0,19646,100.0,1,100.0,188,100.0
https://github.com/lihuacai168/anotherfasterrunner,overall,2025-07-06T01:50:38+00:00,2026-02-20T23:30:25.000746+00:00,140,87.857,1684892,99.985,1673696,99.992,11196,98.955,4,100.0,6580,100.0
https://github.com/lionad-morotar/blog,overall,2026-02-13T21:21:58+00:00,2026-02-22T11:54:44.006876+00:00,81,81.481,7996,84.08,248,85.081,7748,84.047,1,100.0,115,79.13
https://github.com/lionfire/trading,overall,2025-07-03T15:37:08+00:00,2026-02-21T12:20:38.423394+00:00,192,81.25,158700,90.183,18299,68.681,140401,92.985,1,100.0,1126,76.377
https://github.com/liuyuelintop/react-portfolio,overall,2025-07-29T02:19:22+00:00,2026-02-21T06:36:52.485222+00:00,63,80.952,25915,70.23,14003,48.404,11912,95.887,2,50.0,121,95.041
https://github.com/longhorn/longhorn-tests,overall,2026-02-03T03:30:16+00:00,2026-02-21T12:28:21.940886+00:00,68,79.412,2504,72.923,1168,92.038,1336,56.213,6,33.333,82,40.244
https://github.com/luthersystems/elps,overall,2026-02-06T23:19:49+00:00,2026-02-21T13:31:30.252106+00:00,120,100.0,23351,100.0,2387,100.0,20964,100.0,1,100.0,152,100.0
https://github.com/marcodejongh/boardsesh,overall,2025-07-09T05:33:22+00:00,2026-02-21T13:13:31.449084+00:00,634,79.022,217225,86.04,144748,88.279,72477,81.569,6,50.0,1176,88.946
https://github.com/MarcoDroll/creativewriter-public,overall,2025-06-17T09:20:42+00:00,2026-02-21T05:30:16.675916+00:00,1488,96.237,457449,99.15,223253,96.588,234196,101.592,6,66.667,2960,97.331
https://github.com/masatomakino/threejs-interactive-object,overall,2025-07-27T12:53:01+00:00,2026-02-21T02:47:24.427989+00:00,289,89.619,21069,95.752,4513,96.3,16556,95.603,3,33.333,76,100.0
https://github.com/mathrunet/flutter_masamune,overall,2025-10-01T10:04:38+00:00,2026-02-22T19:35:20.117888+00:00,392,88.265,195581,90.119,62969,87.105,132612,91.55,2,50.0,1180,95.593
https://github.com/ml0-1337/claude-gate,overall,2025-06-24T03:34:49+00:00,2026-02-22T00:59:50.806913+00:00,106,98.113,33484,98.384,2948,100.0,30536,98.228,2,100.0,200,98.5
https://github.com/mmacpherson/tenforty,overall,2026-01-22T17:38:29+00:00,2026-02-22T06:48:48.333033+00:00,92,84.783,284819,99.182,34677,92.768,250142,100.071,3,33.333,714,99.86
https://github.com/mochilang/mochi,overall,2025-07-21T05:17:58+00:00,2026-02-21T10:22:50.717705+00:00,9045,99.182,13671894,99.98,2210899,87.548,11460995,102.379,2,100.0,132036,99.837
https://github.com/MontrealAI/AGI-Alpha-Agent-v0,overall,2025-05-17T01:28:45+00:00,2026-02-21T14:00:38.087908+00:00,4532,95.984,295451,97.104,114137,95.133,181314,98.344,3,100.0,2386,99.665
